,Patch,Original,Category,Tool,DIFF,COMP,Detected,Fixed,Consistent,sanity_check,mitigates,patch_link,original_link,diff_link,exploit_link
0,arbitrary_location_write_simple.bin,arbitrary_location_write_simple.sol,access_control,Elysium,True,N/A,0,0,False,failed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/arbitrary_location_write_simple/arbitrary_location_write_simple.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/arbitrary_location_write_simple.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/arbitrary_location_write_simple_test.js
1,incorrect_constructor_name1.bin,incorrect_constructor_name1.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/incorrect_constructor_name1/incorrect_constructor_name1.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name1.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name1_test.js
2,incorrect_constructor_name2.bin,incorrect_constructor_name2.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/incorrect_constructor_name2/incorrect_constructor_name2.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name2.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name2_test.js
3,incorrect_constructor_name3.bin,incorrect_constructor_name3.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/incorrect_constructor_name3/incorrect_constructor_name3.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name3.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name3_test.js
4,mapping_write.bin,mapping_write.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/mapping_write/mapping_write.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mapping_write.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mapping_write_test.js
5,multiowned_vulnerable.bin,multiowned_vulnerable.sol,access_control,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/multiowned_vulnerable/multiowned_vulnerable.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/multiowned_vulnerable.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/multiowned_vulnerable_test.js
6,mycontract.bin,mycontract.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/mycontract/mycontract.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mycontract.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mycontract_test.js
7,phishable.bin,phishable.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/phishable/phishable.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/phishable.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/phishable_test.js
8,proxy.bin,proxy.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/proxy/proxy.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/proxy.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/proxy_test.js
9,rubixi.bin,rubixi.sol,access_control,Elysium,True,N/A,0,0,False,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/rubixi/rubixi.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/rubixi.sol,n/a,non-exploitable
